threshold,f1,recall,precision,far,score
0.05,0.8763250883392226,0.992,0.7848101265822784,0.272,0.17599999999999993
0.060000000000000005,0.8794326241134752,0.992,0.7898089171974523,0.264,0.19999999999999996
0.07,0.8790035587188612,0.988,0.7916666666666666,0.26,0.20799999999999996
0.08000000000000002,0.8853046594982079,0.988,0.801948051948052,0.244,0.256
0.09000000000000001,0.8868940754039497,0.988,0.8045602605863192,0.24,0.268
0.1,0.8884892086330936,0.988,0.8071895424836601,0.236,0.28
0.11000000000000001,0.8916967509025271,0.988,0.8125,0.228,0.30399999999999994
0.12000000000000001,0.8933092224231465,0.988,0.8151815181518152,0.224,0.31599999999999995
0.13,0.8978102189781022,0.984,0.825503355704698,0.208,0.36
0.14,0.8978102189781022,0.984,0.825503355704698,0.208,0.36
0.15000000000000002,0.9010989010989011,0.984,0.831081081081081,0.2,0.3839999999999999
0.16000000000000003,0.9007352941176471,0.98,0.8333333333333334,0.196,0.3919999999999999
0.17000000000000004,0.9007352941176471,0.98,0.8333333333333334,0.196,0.3919999999999999
0.18000000000000005,0.9003690036900369,0.976,0.8356164383561644,0.192,0.3999999999999999
0.19,0.9003690036900369,0.976,0.8356164383561644,0.192,0.3999999999999999
0.2,0.9003690036900369,0.976,0.8356164383561644,0.192,0.3999999999999999
0.21000000000000002,0.9003690036900369,0.976,0.8356164383561644,0.192,0.3999999999999999
0.22000000000000003,0.9,0.972,0.8379310344827586,0.188,0.4079999999999999
0.23000000000000004,0.9,0.972,0.8379310344827586,0.188,0.4079999999999999
0.24000000000000005,0.9,0.972,0.8379310344827586,0.188,0.4079999999999999
0.25000000000000006,0.9,0.972,0.8379310344827586,0.188,0.4079999999999999
0.26000000000000006,0.8975791433891993,0.964,0.8397212543554007,0.184,0.4119999999999999
0.27,0.8975791433891993,0.964,0.8397212543554007,0.184,0.4119999999999999
0.28,0.8975791433891993,0.964,0.8397212543554007,0.184,0.4119999999999999
0.29000000000000004,0.8975791433891993,0.964,0.8397212543554007,0.184,0.4119999999999999
0.30000000000000004,0.8992537313432836,0.964,0.8426573426573427,0.18,0.42399999999999993
0.31000000000000005,0.9009345794392524,0.964,0.8456140350877193,0.176,0.43599999999999994
0.32000000000000006,0.9009345794392524,0.964,0.8456140350877193,0.176,0.43599999999999994
0.33,0.9009345794392524,0.964,0.8456140350877193,0.176,0.43599999999999994
0.34,0.9026217228464419,0.964,0.8485915492957746,0.172,0.44799999999999995
0.35000000000000003,0.9026217228464419,0.964,0.8485915492957746,0.172,0.44799999999999995
0.36000000000000004,0.9043151969981238,0.964,0.8515901060070671,0.168,0.45999999999999996
0.37000000000000005,0.9060150375939849,0.964,0.8546099290780141,0.164,0.472
0.38000000000000006,0.9077212806026366,0.964,0.8576512455516014,0.16,0.484
0.39000000000000007,0.9056603773584906,0.96,0.8571428571428571,0.16,0.48
0.4000000000000001,0.9056603773584906,0.96,0.8571428571428571,0.16,0.48
0.4100000000000001,0.9056603773584906,0.96,0.8571428571428571,0.16,0.48
0.42000000000000004,0.9056603773584906,0.96,0.8571428571428571,0.16,0.48
0.43000000000000005,0.9053030303030303,0.956,0.8597122302158273,0.156,0.488
0.44000000000000006,0.9070208728652751,0.956,0.8628158844765343,0.152,0.5
0.45000000000000007,0.9070208728652751,0.956,0.8628158844765343,0.152,0.5
0.4600000000000001,0.9070208728652751,0.956,0.8628158844765343,0.152,0.5
0.4700000000000001,0.9070208728652751,0.956,0.8628158844765343,0.152,0.5
0.4800000000000001,0.9070208728652751,0.956,0.8628158844765343,0.152,0.5
0.49000000000000005,0.908745247148289,0.956,0.8659420289855072,0.148,0.512
0.5000000000000001,0.908745247148289,0.956,0.8659420289855072,0.148,0.512
0.5100000000000001,0.9066666666666666,0.952,0.8654545454545455,0.148,0.508
0.5200000000000001,0.9045801526717557,0.948,0.864963503649635,0.148,0.504
0.5300000000000001,0.9063097514340345,0.948,0.8681318681318682,0.144,0.516
0.5400000000000001,0.9063097514340345,0.948,0.8681318681318682,0.144,0.516
0.5500000000000002,0.9063097514340345,0.948,0.8681318681318682,0.144,0.516
0.5600000000000002,0.9063097514340345,0.948,0.8681318681318682,0.144,0.516
0.5700000000000002,0.9042145593869731,0.944,0.8676470588235294,0.144,0.512
0.5800000000000002,0.9042145593869731,0.944,0.8676470588235294,0.144,0.512
0.5900000000000002,0.9042145593869731,0.944,0.8676470588235294,0.144,0.512
0.6000000000000002,0.9059500959692899,0.944,0.8708487084870848,0.14,0.5239999999999999
0.6100000000000001,0.9059500959692899,0.944,0.8708487084870848,0.14,0.5239999999999999
0.6200000000000001,0.9059500959692899,0.944,0.8708487084870848,0.14,0.5239999999999999
0.6300000000000001,0.905587668593449,0.94,0.8736059479553904,0.136,0.5319999999999999
0.6400000000000001,0.9052224371373307,0.936,0.8764044943820225,0.132,0.54
0.6500000000000001,0.9052224371373307,0.936,0.8764044943820225,0.132,0.54
0.6600000000000001,0.9031007751937985,0.932,0.8759398496240601,0.132,0.536
0.6700000000000002,0.8988326848249028,0.924,0.875,0.132,0.528
0.6800000000000002,0.8988326848249028,0.924,0.875,0.132,0.528
0.6900000000000002,0.8988326848249028,0.924,0.875,0.132,0.528
0.7000000000000002,0.8988326848249028,0.924,0.875,0.132,0.528
0.7100000000000002,0.89453125,0.916,0.8740458015267175,0.132,0.52
0.7200000000000002,0.89453125,0.916,0.8740458015267175,0.132,0.52
0.7300000000000002,0.8923679060665362,0.912,0.8735632183908046,0.132,0.516
0.7400000000000002,0.888015717092338,0.904,0.8725868725868726,0.132,0.508
0.7500000000000002,0.8875739644970414,0.9,0.8754863813229572,0.128,0.516
0.7600000000000002,0.8875739644970414,0.9,0.8754863813229572,0.128,0.516
0.7700000000000002,0.8875739644970414,0.9,0.8754863813229572,0.128,0.516
0.7800000000000001,0.8849206349206349,0.892,0.8779527559055118,0.124,0.52
0.7900000000000001,0.8844621513944223,0.888,0.8809523809523809,0.12,0.528
0.8000000000000002,0.8755020080321285,0.872,0.8790322580645161,0.12,0.512
0.8100000000000002,0.8686868686868687,0.86,0.8775510204081632,0.12,0.5
0.8200000000000002,0.8681541582150102,0.856,0.8806584362139918,0.116,0.508
0.8300000000000002,0.8676171079429735,0.852,0.8838174273858921,0.112,0.516
0.8400000000000002,0.86652977412731,0.844,0.890295358649789,0.104,0.532
0.8500000000000002,0.8517745302713987,0.816,0.8908296943231441,0.1,0.5159999999999999
0.8600000000000002,0.8481012658227848,0.804,0.8973214285714286,0.092,0.528
0.8700000000000002,0.8486140724946695,0.796,0.908675799086758,0.08,0.556
0.8800000000000002,0.838012958963283,0.776,0.9107981220657277,0.076,0.548
0.8900000000000002,0.8175824175824176,0.744,0.9073170731707317,0.076,0.516
0.9000000000000002,0.7563805104408353,0.652,0.9005524861878453,0.072,0.43600000000000005
0.9100000000000003,0.7170731707317073,0.588,0.91875,0.052,0.43199999999999994
0.9200000000000003,0.6528497409326425,0.504,0.9264705882352942,0.04,0.384
0.9300000000000002,0.5244956772334294,0.364,0.9381443298969072,0.024,0.292
0.9400000000000002,0.3974358974358974,0.248,1.0,0.0,0.248
