threshold,f1,recall,precision,far
0.1,0.8098360655737705,0.988,0.6861111111111111,0.226
0.11,0.8078817733990148,0.984,0.6852367688022284,0.226
0.12,0.8105436573311368,0.984,0.6890756302521008,0.222
0.13,0.8105436573311368,0.984,0.6890756302521008,0.222
0.13999999999999999,0.8132231404958677,0.984,0.6929577464788732,0.218
0.14999999999999997,0.8132231404958677,0.984,0.6929577464788732,0.218
0.15999999999999998,0.8132231404958677,0.984,0.6929577464788732,0.218
0.16999999999999998,0.8126036484245439,0.98,0.6940509915014165,0.216
0.17999999999999997,0.8126036484245439,0.98,0.6940509915014165,0.216
0.18999999999999995,0.8126036484245439,0.98,0.6940509915014165,0.216
0.19999999999999996,0.813953488372093,0.98,0.6960227272727273,0.214
0.20999999999999996,0.8153078202995009,0.98,0.698005698005698,0.212
0.21999999999999995,0.8166666666666667,0.98,0.7,0.21
0.22999999999999995,0.8207705192629816,0.98,0.7060518731988472,0.204
0.23999999999999994,0.8207705192629816,0.98,0.7060518731988472,0.204
0.24999999999999992,0.8235294117647058,0.98,0.7101449275362319,0.2
0.2599999999999999,0.8215488215488216,0.976,0.7093023255813954,0.2
0.2699999999999999,0.8195615514333895,0.972,0.7084548104956269,0.2
0.2799999999999999,0.8175675675675675,0.968,0.7076023391812866,0.2
0.2899999999999999,0.8189509306260575,0.968,0.7096774193548387,0.198
0.29999999999999993,0.8189509306260575,0.968,0.7096774193548387,0.198
0.30999999999999994,0.8189509306260575,0.968,0.7096774193548387,0.198
0.3199999999999999,0.8189509306260575,0.968,0.7096774193548387,0.198
0.32999999999999985,0.8189509306260575,0.968,0.7096774193548387,0.198
0.33999999999999986,0.8203389830508474,0.968,0.711764705882353,0.196
0.34999999999999987,0.8217317487266553,0.968,0.7138643067846607,0.194
0.3599999999999999,0.8245315161839863,0.968,0.7181008902077152,0.19
0.3699999999999999,0.8225255972696246,0.964,0.7172619047619048,0.19
0.3799999999999999,0.8239316239316239,0.964,0.7194029850746269,0.188
0.3899999999999999,0.8239316239316239,0.964,0.7194029850746269,0.188
0.3999999999999998,0.8239316239316239,0.964,0.7194029850746269,0.188
0.4099999999999998,0.821917808219178,0.96,0.718562874251497,0.188
0.4199999999999998,0.821917808219178,0.96,0.718562874251497,0.188
0.4299999999999998,0.823327615780446,0.96,0.7207207207207207,0.186
0.43999999999999984,0.823327615780446,0.96,0.7207207207207207,0.186
0.44999999999999984,0.823327615780446,0.96,0.7207207207207207,0.186
0.45999999999999985,0.8247422680412371,0.96,0.7228915662650602,0.184
0.46999999999999986,0.8247422680412371,0.96,0.7228915662650602,0.184
0.47999999999999976,0.8261617900172117,0.96,0.7250755287009063,0.182
0.48999999999999977,0.8241379310344827,0.956,0.7242424242424242,0.182
0.4999999999999998,0.8241379310344827,0.956,0.7242424242424242,0.182
0.5099999999999998,0.8241379310344827,0.956,0.7242424242424242,0.182
0.5199999999999998,0.8241379310344827,0.956,0.7242424242424242,0.182
0.5299999999999998,0.8221070811744386,0.952,0.723404255319149,0.182
0.5399999999999998,0.8221070811744386,0.952,0.723404255319149,0.182
0.5499999999999998,0.8235294117647058,0.952,0.725609756097561,0.18
0.5599999999999997,0.8235294117647058,0.952,0.725609756097561,0.18
0.5699999999999997,0.8249566724436742,0.952,0.72782874617737,0.178
0.5799999999999997,0.8249566724436742,0.952,0.72782874617737,0.178
0.5899999999999997,0.8229166666666666,0.948,0.7269938650306749,0.178
0.5999999999999998,0.8229166666666666,0.948,0.7269938650306749,0.178
0.6099999999999998,0.8208695652173913,0.944,0.7261538461538461,0.178
0.6199999999999998,0.8222996515679443,0.944,0.7283950617283951,0.176
0.6299999999999997,0.8222996515679443,0.944,0.7283950617283951,0.176
0.6399999999999997,0.8216783216783217,0.94,0.7298136645962733,0.174
0.6499999999999997,0.8231173380035026,0.94,0.7320872274143302,0.172
0.6599999999999997,0.8231173380035026,0.94,0.7320872274143302,0.172
0.6699999999999997,0.8245614035087719,0.94,0.734375,0.17
0.6799999999999997,0.823943661971831,0.936,0.7358490566037735,0.168
0.6899999999999997,0.8262411347517731,0.932,0.7420382165605095,0.162
0.6999999999999996,0.8262411347517731,0.932,0.7420382165605095,0.162
0.7099999999999996,0.8220640569395018,0.924,0.7403846153846154,0.162
0.7199999999999996,0.8178571428571428,0.916,0.7387096774193549,0.162
0.7299999999999996,0.8165467625899281,0.908,0.7418300653594772,0.158
0.7399999999999997,0.8137432188065099,0.9,0.7425742574257426,0.156
0.7499999999999997,0.8190127970749543,0.896,0.7542087542087542,0.146
0.7599999999999997,0.8283582089552238,0.888,0.7762237762237763,0.128
0.7699999999999997,0.8264150943396227,0.876,0.7821428571428571,0.122
0.7799999999999997,0.8304761904761905,0.872,0.7927272727272727,0.114
0.7899999999999996,0.8285163776493256,0.86,0.7992565055762082,0.108
0.7999999999999996,0.8149606299212598,0.828,0.8023255813953488,0.102
0.8099999999999996,0.8118811881188119,0.82,0.803921568627451,0.1
0.8199999999999996,0.8008048289738431,0.796,0.805668016194332,0.096
0.8299999999999996,0.7926078028747433,0.772,0.8143459915611815,0.088
0.8399999999999996,0.7837259100642399,0.732,0.8433179723502304,0.068
0.8499999999999996,0.7545454545454545,0.664,0.8736842105263158,0.048
0.8599999999999995,0.7370892018779343,0.628,0.8920454545454546,0.038
0.8699999999999996,0.7101449275362319,0.588,0.8963414634146342,0.034
0.8799999999999996,0.6831683168316832,0.552,0.8961038961038961,0.032
0.8899999999999996,0.6547314578005116,0.512,0.9078014184397163,0.026
