threshold,recall,far,f1
0.05,0.9776119402985075,0.19776119402985073,0.8987993138936535
0.06,0.9776119402985075,0.19776119402985073,0.8987993138936535
0.07,0.9776119402985075,0.1828358208955224,0.9050086355785838
0.08,0.9776119402985075,0.17537313432835822,0.9081455805892548
0.09,0.9776119402985075,0.17164179104477612,0.9097222222222222
0.1,0.9776119402985075,0.17164179104477612,0.9097222222222222
0.11,0.9776119402985075,0.17164179104477612,0.9097222222222222
0.12,0.9776119402985075,0.17164179104477612,0.9097222222222222
0.13,0.9776119402985075,0.17164179104477612,0.9097222222222222
0.14,0.9776119402985075,0.16417910447761194,0.9128919860627178
0.15,0.9738805970149254,0.15671641791044777,0.9141856392294221
0.16,0.9738805970149254,0.15298507462686567,0.9157894736842105
0.17,0.9738805970149254,0.15298507462686567,0.9157894736842105
0.18,0.9738805970149254,0.15298507462686567,0.9157894736842105
0.19,0.9738805970149254,0.14925373134328357,0.9173989455184535
0.2,0.9738805970149254,0.14925373134328357,0.9173989455184535
0.21,0.9701492537313433,0.14925373134328357,0.9154929577464789
0.22,0.9701492537313433,0.1455223880597015,0.9171075837742504
0.23,0.9701492537313433,0.1455223880597015,0.9171075837742504
0.24,0.9701492537313433,0.1455223880597015,0.9171075837742504
0.25,0.9701492537313433,0.1455223880597015,0.9171075837742504
0.26,0.9701492537313433,0.1455223880597015,0.9171075837742504
0.27,0.9701492537313433,0.1455223880597015,0.9171075837742504
0.28,0.9664179104477612,0.1455223880597015,0.9151943462897526
0.29,0.9664179104477612,0.1455223880597015,0.9151943462897526
0.3,0.9664179104477612,0.1455223880597015,0.9151943462897526
0.31,0.9664179104477612,0.1417910447761194,0.9168141592920354
0.32,0.9626865671641791,0.1417910447761194,0.9148936170212766
0.33,0.9626865671641791,0.1417910447761194,0.9148936170212766
0.34,0.9626865671641791,0.1417910447761194,0.9148936170212766
0.35,0.9626865671641791,0.13805970149253732,0.91651865008881
0.36,0.9589552238805971,0.13805970149253732,0.9145907473309609
0.37,0.9589552238805971,0.13805970149253732,0.9145907473309609
0.38,0.9589552238805971,0.13805970149253732,0.9145907473309609
0.39,0.9589552238805971,0.13805970149253732,0.9145907473309609
0.4,0.9589552238805971,0.13805970149253732,0.9145907473309609
0.41,0.9589552238805971,0.13805970149253732,0.9145907473309609
0.42,0.9589552238805971,0.13432835820895522,0.9162210338680927
0.43,0.9589552238805971,0.13059701492537312,0.9178571428571428
0.44,0.9552238805970149,0.13059701492537312,0.9159212880143113
0.45,0.9552238805970149,0.13059701492537312,0.9159212880143113
0.46,0.9514925373134329,0.13059701492537312,0.9139784946236559
0.47,0.9514925373134329,0.13059701492537312,0.9139784946236559
0.48,0.9514925373134329,0.13059701492537312,0.9139784946236559
0.49,0.9514925373134329,0.13059701492537312,0.9139784946236559
0.5,0.9514925373134329,0.13059701492537312,0.9139784946236559
0.51,0.9514925373134329,0.12686567164179105,0.9156193895870736
0.52,0.9477611940298507,0.12686567164179105,0.9136690647482014
0.53,0.9477611940298507,0.12686567164179105,0.9136690647482014
0.54,0.9440298507462687,0.12686567164179105,0.9117117117117117
0.55,0.9402985074626866,0.12686567164179105,0.9097472924187726
0.56,0.9328358208955224,0.12686567164179105,0.9057971014492754
0.57,0.9328358208955224,0.12686567164179105,0.9057971014492754
0.58,0.9328358208955224,0.12686567164179105,0.9057971014492754
0.59,0.9291044776119403,0.12686567164179105,0.9038112522686026
0.6,0.9291044776119403,0.12686567164179105,0.9038112522686026
0.61,0.9291044776119403,0.12686567164179105,0.9038112522686026
0.62,0.9253731343283582,0.12686567164179105,0.9018181818181819
0.63,0.9253731343283582,0.12686567164179105,0.9018181818181819
0.64,0.9253731343283582,0.12313432835820895,0.9034608378870674
0.65,0.9253731343283582,0.11940298507462686,0.9051094890510949
0.66,0.9253731343283582,0.11940298507462686,0.9051094890510949
0.67,0.917910447761194,0.11940298507462686,0.9010989010989011
0.68,0.914179104477612,0.11940298507462686,0.8990825688073395
0.69,0.914179104477612,0.11940298507462686,0.8990825688073395
0.7,0.9104477611940298,0.11940298507462686,0.8970588235294118
0.71,0.9067164179104478,0.11940298507462686,0.8950276243093923
0.72,0.9067164179104478,0.11940298507462686,0.8950276243093923
0.73,0.9067164179104478,0.11940298507462686,0.8950276243093923
0.74,0.9029850746268657,0.11567164179104478,0.8946395563770795
0.75,0.8992537313432836,0.11567164179104478,0.8925925925925926
0.76,0.8955223880597015,0.11194029850746269,0.8921933085501859
0.77,0.8843283582089553,0.11194029850746269,0.8859813084112149
0.78,0.8768656716417911,0.11194029850746269,0.8818011257035647
0.79,0.8731343283582089,0.1044776119402985,0.8830188679245283
0.8,0.8544776119402985,0.08582089552238806,0.8807692307692307
0.81,0.835820895522388,0.07462686567164178,0.875
0.82,0.8208955223880597,0.06716417910447761,0.8695652173913043
0.83,0.8022388059701493,0.05223880597014925,0.8651911468812877
0.84,0.7835820895522388,0.048507462686567165,0.8553971486761711
0.85,0.7723880597014925,0.041044776119402986,0.8518518518518519
0.86,0.7649253731343284,0.03731343283582089,0.8488612836438924
0.87,0.7126865671641791,0.029850746268656716,0.8179871520342612
0.88,0.6828358208955224,0.026119402985074626,0.7991266375545851
0.89,0.6231343283582089,0.022388059701492536,0.7573696145124716
0.9,0.582089552238806,0.014925373134328358,0.7289719626168224
0.91,0.5410447761194029,0.014925373134328358,0.6954436450839329
0.92,0.4962686567164179,0.011194029850746268,0.6584158415841584
0.93,0.44029850746268656,0.007462686567164179,0.6082474226804123
0.94,0.3656716417910448,0.0037313432835820895,0.5340599455040872
